Date,BTC-EUR,C3M.MI,VWCE.DE
2019-07-29,100.0,100.0,100.0
2019-07-30,100.79207655951325,100.0,99.42937224575931
2019-07-31,106.63664615230559,100.0,99.58246982778805
2019-08-01,109.87658004361674,99.99150922243518,100.19484953739959
2019-08-02,110.6730918935009,99.99150922243518,96.92414873847402
2019-08-05,122.90820617881673,99.99150922243518,94.57202281321744
2019-08-06,119.90977842066626,99.99150922243518,93.94572224564783
2019-08-07,124.76588411226406,99.98301844487038,94.02922615638954
2019-08-08,125.2175978604525,99.97452766730555,96.04732582017586
2019-08-09,123.09895795824836,99.97452766730555,95.37926267873198
2019-08-12,118.79137651522893,99.97452766730555,94.7947140665332
2019-08-13,114.12581684216927,99.97452766730555,95.9081490961052
2019-08-14,105.59601043344904,99.97452766730555,94.44676694710488
2019-08-16,109.4510893781883,99.91510517748316,95.61586417150242
2019-08-19,115.29405860847565,99.94906181117676,96.71537834311634
2019-08-20,113.53232240720126,99.95755258874158,96.46485599238781
2019-08-21,106.99272680966135,99.9660433663064,96.91022788051593
2019-08-22,106.97679177157615,99.9660433663064,96.50660794775867
2019-08-23,108.52662854603179,99.97452766730555,95.15658204391961
2019-08-26,109.35472469306762,99.93208673261279,95.28183791003218
2019-08-27,107.50661464116786,99.9660433663064,95.69937870074753
2019-08-28,103.00541219736859,99.95755258874158,95.85247628277627
2019-08-29,100.64798677826224,99.90662087648398,97.10507741791552
2019-08-30,102.04887552814822,99.95755258874158,97.7592197014013
2019-09-02,110.45859759319197,99.94906181117676,97.8566444701011
2019-09-03,113.32188616895851,99.94906181117676,97.60612211937257
2019-09-04,112.38390227363502,99.9660433663064,98.19068135007475
2019-09-05,112.20147237922922,99.94906181117676,99.3458577165142
2019-09-06,108.8910310884134,99.93208673261279,99.51287615650102
2019-09-09,109.51266904114738,99.9405775101776,99.51287615650102
2019-09-10,107.16912105119125,99.93208673261279,99.10925622374376
2019-09-11,108.17793241852041,99.93208673261279,100.47321360404429
2019-09-12,110.22042935897022,99.92359595504797,100.70981509681474
2019-09-13,108.96601950293199,99.92359595504797,100.79331900755643
2019-09-16,109.31444128258538,99.91510517748316,100.87683353680154
2019-09-17,108.24681659319859,99.91510517748316,100.40361993275727
2019-09-18,108.23482530557207,99.90662087648398,100.25052235072853
2019-09-19,108.77898285074401,99.89813009891918,101.07168307420113
