timestamp,config,seed,alpha,n_features,mode,train_return,eval_return,eval_return_initial,eval_return_slope,train_return_slope,weight_norm,elapsed_s
2026-07-22T16:18:52+00:00,Set B - mono (port_std),0,0.025,32,full,-0.04977997952449761,-0.07199616515390841,-0.3795084961313991,1.9723345330703744e-05,0.00013343740622648716,0.9444178821217644,149.93992805480957
2026-07-22T16:18:52+00:00,Set B - mono (port_std),1,0.025,32,full,-0.2528055274405548,-0.14966182285160612,-0.4784780099952665,7.590038537988375e-05,-0.0001771876238137335,0.8344152400810233,150.3269169330597
2026-07-22T16:19:00+00:00,Set A - Raw (TileCoder),2,0.025,2500,full,-0.09281282435775173,-0.20940882959149834,-0.4341330222961721,4.712308197766545e-06,0.00037893932945504664,1.3019086647948854,158.6351568698883
2026-07-22T16:19:01+00:00,Set A - Raw (TileCoder),0,0.025,2500,full,-0.11120466054163858,-0.27892244521213705,-0.5870137630952341,4.7804137946729125e-05,0.00022479180597744666,1.368086810132582,158.9577238559723
2026-07-22T16:19:01+00:00,Set A - Raw (TileCoder),1,0.025,2500,full,-0.2446493580486772,-0.526631278149905,-0.280442855065183,-1.946544293445116e-05,5.262425799835591e-05,1.3752999222500786,159.5763189792633
2026-07-22T16:21:21+00:00,Set B - mono (port_std),2,0.025,32,full,-0.19192718878532966,-0.13581279733892274,-0.6502269083359229,0.00013991308469148942,-8.861459951040255e-05,1.0110130082947166,149.70447778701782
2026-07-22T16:21:24+00:00,"Set C - (MACD, port_std)",0,0.025,144,full,-0.026029960718553145,-0.04581433956995994,-0.675773249579371,0.00014553191176496595,0.00015462696699043214,0.6878375318526352,151.74914479255676
2026-07-22T16:21:32+00:00,"Set C - (MACD, port_std)",1,0.025,144,full,-0.16794915355019208,-0.5341521486591428,-0.6380785357886819,0.00015112177398950705,-0.0005066951142086194,0.790050271382714,151.9851679801941
2026-07-22T16:21:33+00:00,"Set C - (MACD, port_std)",2,0.025,144,full,-0.02919510751699208,-0.03680408203273025,-0.5260929221486752,9.121954950268337e-05,0.0005014202447802652,0.7770314340259534,152.29080390930176
2026-07-22T16:21:36+00:00,"Set D - (MACD, port_std, RSI)",0,0.025,320,full,-0.17333484235816687,-0.09802564772923986,-0.48589743182182443,9.05156476771853e-05,-0.00012507799990009653,1.1796068692227537,154.57874608039856
2026-07-22T16:23:55+00:00,"Set D - (MACD, port_std, RSI)",1,0.025,320,full,-0.05862591026246795,-0.05091727966551253,-0.4870596580738572,8.954128132178455e-05,0.0007496699892760596,1.1896564638239977,153.98095607757568
2026-07-22T16:23:58+00:00,"Set D - (MACD, port_std, RSI)",2,0.025,320,full,-0.08249685643707103,-0.10501473660570323,-0.18680910853060634,4.126718037135571e-05,0.0005349909375841224,1.0413117509909735,154.18977427482605
2026-07-22T16:24:07+00:00,"Set E - (avg_corr, RSI, MACD)",0,0.025,320,full,-0.03190024010530816,-0.04205768471749587,-0.2322720037657235,5.883039374642772e-05,0.0007903444455031925,1.2817153977058295,154.30998182296753
2026-07-22T16:24:08+00:00,"Set E - (avg_corr, RSI, MACD)",1,0.025,320,full,-0.23962116017524368,-0.26318638159779323,-0.669387238853832,8.68484537152046e-06,0.000679918598118171,1.1686814265310244,154.552570104599
2026-07-22T16:24:11+00:00,"Set E - (avg_corr, RSI, MACD)",2,0.025,320,full,-0.1762076253713785,-0.4643504256942582,-0.23526004775406037,4.4795811712430305e-06,0.00025687828318983914,1.2603570979298515,154.6330590248108
2026-07-22T16:26:11+00:00,"Set G - RBF (MACD, port_std)",0,0.1,16,full,-0.020385770191625553,-0.016394185783965183,-0.3002388386184923,6.84751039603004e-05,0.0002925343778854964,0.9620894313409769,123.28050589561462
2026-07-22T16:26:14+00:00,"Set G - RBF (MACD, port_std)",1,0.1,16,full,-0.030924392715846637,-0.018307974521071184,-0.8917933809559349,0.00021112250247192106,5.7783908084951295e-05,1.1073112179337605,122.99732232093811
2026-07-22T16:26:15+00:00,"Set F - Polynomial (RSI, MACD, port_std)",0,0.0001,10,full,-0.15525350299028373,-0.13189477300039248,-0.3831582289636815,-6.944208243552771e-05,0.0004609216074139317,0.02003214195285051,139.8659782409668
2026-07-22T16:26:18+00:00,"Set F - Polynomial (RSI, MACD, port_std)",1,0.0001,10,full,-0.1883357060196667,-0.30417678047642,-0.17880347815502512,-1.0730108721386077e-05,0.0002242134293542794,0.01918854276547133,139.974702835083
2026-07-22T16:26:28+00:00,"Set F - Polynomial (RSI, MACD, port_std)",2,0.0001,10,full,-0.2854764696397023,-0.637549370165291,-0.28697344312143447,-3.6899124165200217e-05,0.0004239003448313813,0.017976822598264004,140.78556418418884
2026-07-22T16:28:05+00:00,"Set G - RBF (MACD, port_std)",2,0.1,16,full,-0.024294155395630315,-0.02026469563074567,-0.4472472951889922,0.00011971576405238385,5.1588712924279766e-05,0.94383786326705,113.96502208709717
2026-07-22T16:28:09+00:00,"Set H - RBF (port_std, RSI, MACD)",0,0.1,64,full,-0.026461224486894957,-0.04046674649348482,-0.6368532298588263,0.0001545983318678511,0.0006010724658140278,0.8523946125551753,115.10286474227905
2026-07-22T16:28:10+00:00,"Set H - RBF (port_std, RSI, MACD)",1,0.1,64,full,-0.0269428796899929,-0.04088413392082891,-0.2811640280610298,0.00016472897422049187,-9.545020459974712e-06,1.0596600995117231,114.30150723457336
2026-07-22T16:28:12+00:00,"Set H - RBF (port_std, RSI, MACD)",2,0.1,64,full,-0.038676857312041305,-0.33975125699086667,-0.6492625963745846,8.839186754911846e-05,0.00035338817193261625,0.9107567102900346,114.07000708580017
