timestamp,config,seed,alpha,n_features,mode,train_return,eval_return,eval_return_initial,eval_return_slope,train_return_slope,weight_norm,elapsed_s
2026-07-22T16:31:31+00:00,Set B - mono (port_std),0,0.025,32,full,-0.0511519664468022,-0.029011020609722236,-0.543439583072692,0.0002526140468790538,6.680622035810363e-05,0.8218599574763193,150.89380717277527
2026-07-22T16:31:32+00:00,Set B - mono (port_std),1,0.025,32,full,-0.12066907682482966,-0.10982732917251992,-0.5037463012539056,0.00021629631437200428,7.72654459998211e-06,0.9168461018307771,151.8279950618744
2026-07-22T16:31:40+00:00,Set A - Raw (TileCoder),2,0.025,2500,full,-0.4579902357808036,-0.4306489989648865,-0.5482118749562963,3.09334576755662e-05,0.00030427309799525664,1.541873561949154,159.89826011657715
2026-07-22T16:31:40+00:00,Set A - Raw (TileCoder),1,0.025,2500,full,-0.6077076164428187,-0.5098308567956444,-0.6122594431579941,7.062302533568234e-05,-8.838629838592436e-05,1.5549762038243276,160.01836609840393
2026-07-22T16:31:42+00:00,Set A - Raw (TileCoder),0,0.025,2500,full,-0.433432047124073,-0.4788026759624172,-0.7354566318617806,-6.0469858429039705e-06,0.00014023495249516123,1.6582367712147363,161.6929669380188
2026-07-22T16:33:59+00:00,Set B - mono (port_std),2,0.025,32,full,-0.3843827289639745,-0.2560933616579081,-0.381357163232552,0.00016452227260362298,-0.0003952941446433065,0.9316977654050483,147.61940813064575
2026-07-22T16:34:02+00:00,"Set C - (MACD, port_std)",0,0.025,144,full,-0.05714699648629151,-0.016783273248782645,-0.5807288768729567,0.00018384820400328713,1.5377246680200814e-05,0.7114267354550163,150.2993848323822
2026-07-22T16:34:10+00:00,"Set C - (MACD, port_std)",1,0.025,144,full,-0.5677282582404253,-0.2605773311627798,-0.6782904313239763,0.00016757012736528574,-0.0004810885758693483,0.7798651402226566,149.7542028427124
2026-07-22T16:34:10+00:00,"Set C - (MACD, port_std)",2,0.025,144,full,-0.1607800889930965,-0.799890608005071,-0.6808751247254052,0.00015574564007794867,-0.00013947765173908468,0.6403878417402403,149.8781440258026
2026-07-22T16:34:15+00:00,"Set D - (MACD, port_std, RSI)",0,0.025,320,full,-0.14789199272804004,-0.1980793513321854,-0.44383766238981864,0.00018596507759482397,-0.00010104277977125459,0.9798050177781031,153.35134983062744
2026-07-22T16:36:34+00:00,"Set D - (MACD, port_std, RSI)",1,0.025,320,full,-0.30368753518051567,-0.7112779344851913,-0.6764381044262132,0.00010641986048564647,-0.00011813760111659577,1.062062517245978,155.29150295257568
2026-07-22T16:36:38+00:00,"Set D - (MACD, port_std, RSI)",2,0.025,320,full,-0.3768897211753799,-0.39289557030322897,-0.8656759010584381,7.086421805543901e-05,0.00016684859419503095,1.1390847418581542,156.08324813842773
2026-07-22T16:36:47+00:00,"Set E - (avg_corr, RSI, MACD)",0,0.025,320,full,-0.4499757971889909,-0.4631265297360897,-0.7495482644543258,0.00012442596957520295,0.0001993940700617335,1.0786710834205853,156.93260025978088
2026-07-22T16:36:47+00:00,"Set E - (avg_corr, RSI, MACD)",1,0.025,320,full,-0.5432294282550204,-0.35394673040892727,-0.48143472423863376,0.00014646308780376366,0.0005409868224986131,1.2409381169731948,157.05425190925598
2026-07-22T16:36:55+00:00,"Set E - (avg_corr, RSI, MACD)",2,0.025,320,full,-0.6013985848582847,-0.5073323737882235,-0.5809218618142931,0.00017536922854206375,0.0005710141475567352,1.173242042690451,159.72712993621826
2026-07-22T16:38:54+00:00,"Set G - RBF (MACD, port_std)",0,0.1,16,full,-0.09902957412091772,-0.034566659742431914,-0.7248420850394763,0.00014291002374303732,0.00010691853550684597,1.1592575555130153,127.28502607345581
2026-07-22T16:38:59+00:00,"Set F - Polynomial (RSI, MACD, port_std)",0,0.0001,10,full,-0.6601419445608363,-0.5400092065540723,-0.5151749302338903,-2.885384196871595e-05,-0.0003616633533216872,0.021407706267722086,144.92156100273132
2026-07-22T16:39:03+00:00,"Set G - RBF (MACD, port_std)",1,0.1,16,full,-0.08010260564329068,-0.7332470156912404,-0.10925390664670973,-8.400840738791058e-07,-4.825266055263052e-05,1.0958224257870564,127.73423790931702
2026-07-22T16:39:04+00:00,"Set F - Polynomial (RSI, MACD, port_std)",1,0.0001,10,full,-0.5568428625860842,-0.5548099842294258,-0.791866309520619,1.4164940686866955e-05,5.0704213846407854e-05,0.0219409010376628,145.24532103538513
2026-07-22T16:39:12+00:00,"Set F - Polynomial (RSI, MACD, port_std)",2,0.0001,10,full,-0.7230589975012333,-0.7155061121572696,-0.6009533209583102,-0.00010358247799809003,-8.706751305566097e-05,0.021929831256756294,144.7159719467163
2026-07-22T16:40:52+00:00,"Set G - RBF (MACD, port_std)",2,0.1,16,full,-0.08088478224318144,-0.2804330085825374,-0.09385844474476406,0.00013042438441291865,0.00023468235450587238,1.1306306646059114,117.55733609199524
2026-07-22T16:40:57+00:00,"Set H - RBF (port_std, RSI, MACD)",0,0.1,64,full,-0.053148812583867146,-0.007304260683270294,-0.8885830877505223,4.428275131300668e-05,0.0002073140231917266,1.108304657607509,117.73202204704285
2026-07-22T16:41:01+00:00,"Set H - RBF (port_std, RSI, MACD)",1,0.1,64,full,-0.30308641830196964,-0.06026983715252097,-0.08376215269069784,4.778093484995708e-05,0.0001352968228826783,1.1578933784714882,118.76470708847046
2026-07-22T16:41:02+00:00,"Set H - RBF (port_std, RSI, MACD)",2,0.1,64,full,-0.2499294884605404,-0.31363825588878924,-0.394463332614612,8.851079605171984e-05,-0.00019137650373074195,1.1374244995724714,118.13786792755127
